DATE,OPEN,HIGH,LOW,CLOSE,VOL,OI,,,,
8/1/2014,"2,442,987","2,442,987","2,442,987","2,442,987",1,1,,,,
8/4/2014,"2,434,841","2,434,841","2,434,841","2,434,841",1,1,,,,
8/5/2014,"2,433,841","2,433,841","2,433,841","2,433,841",1,1,,,,
8/6/2014,"2,426,239","2,426,239","2,426,239","2,426,239",1,1,,,,
8/7/2014,"2,423,764","2,423,764","2,423,764","2,423,764",1,1,,,,
8/8/2014,"2,424,739","2,424,739","2,424,739","2,424,739",1,1,,,,
8/11/2014,"2,407,513","2,407,513","2,407,513","2,407,513",1,1,,,,
8/12/2014,"2,407,263","2,407,263","2,407,263","2,407,263",1,1,,,,
8/13/2014,"2,407,943","2,407,943","2,407,943","2,407,943",1,1,,,,
8/14/2014,"2,406,921","2,406,921","2,406,921","2,406,921",1,1,,,,
8/15/2014,"2,408,021","2,408,021","2,408,021","2,408,021",1,1,,,,
8/18/2014,"2,410,363","2,410,363","2,410,363","2,410,363",1,1,,,,
8/19/2014,"2,408,681","2,408,681","2,408,681","2,408,681",1,1,,,,
8/20/2014,"2,408,746","2,408,746","2,408,746","2,408,746",1,1,,,,
8/21/2014,"2,405,996","2,405,996","2,405,996","2,405,996",1,1,,,,
8/22/2014,"2,420,252","2,420,252","2,420,252","2,420,252",1,1,,,,
8/25/2014,"2,419,349","2,419,349","2,419,349","2,419,349",1,1,,,,
8/26/2014,"2,421,566","2,421,566","2,421,566","2,421,566",1,1,,,,
8/27/2014,"2,415,972","2,415,972","2,415,972","2,415,972",1,1,,,,
8/28/2014,"2,412,061","2,412,061","2,412,061","2,412,061",1,1,,,,
8/29/2014,"2,410,486","2,410,486","2,410,486","2,410,486",1,1,,,,
9/2/2014,"2,393,281","2,393,281","2,393,281","2,393,281",1,1,,,,
9/3/2014,"2,393,281","2,393,281","2,393,281","2,393,281",1,1,,,,
9/4/2014,"2,398,436","2,398,436","2,398,436","2,398,436",1,1,,,,
9/5/2014,"2,392,254","2,392,254","2,392,254","2,392,254",1,1,,,,
9/8/2014,"2,391,154","2,391,154","2,391,154","2,391,154",1,1,,,,
9/9/2014,"2,374,584","2,374,584","2,374,584","2,374,584",1,1,,,,
9/10/2014,"2,376,219","2,376,219","2,376,219","2,376,219",1,1,,,,
9/11/2014,"2,375,963","2,375,963","2,375,963","2,375,963",1,1,,,,
9/12/2014,"2,378,013","2,378,013","2,378,013","2,378,013",1,1,,,,
9/15/2014,"2,382,523","2,382,523","2,382,523","2,382,523",1,1,,,,
9/16/2014,"2,389,023","2,389,023","2,389,023","2,389,023",1,1,,,,
9/17/2014,"2,387,418","2,387,418","2,387,418","2,387,418",1,1,,,,
9/18/2014,"2,390,363","2,390,363","2,390,363","2,390,363",1,1,,,,
9/19/2014,"2,391,528","2,391,528","2,391,528","2,391,528",1,1,,,,
9/22/2014,"2,394,003","2,394,003","2,394,003","2,394,003",1,1,,,,
9/23/2014,"2,389,128","2,389,128","2,389,128","2,389,128",1,1,,,,
9/24/2014,"2,380,879","2,380,879","2,380,879","2,380,879",1,1,,,,
9/25/2014,"2,382,979","2,382,979","2,382,979","2,382,979",1,1,,,,
9/26/2014,"2,382,129","2,382,129","2,382,129","2,382,129",1,1,,,,
9/29/2014,"2,381,879","2,381,879","2,381,879","2,381,879",1,1,,,,
9/30/2014,"2,383,699","2,383,699","2,383,699","2,383,699",1,1,,,,
10/1/2014,"2,387,052","2,387,052","2,387,052","2,387,052",1,1,,,,
10/2/2014,"2,389,041","2,389,041","2,389,041","2,389,041",1,1,,,,
10/3/2014,"2,382,791","2,382,791","2,382,791","2,382,791",1,1,,,,
10/6/2014,"2,383,616","2,383,616","2,383,616","2,383,616",1,1,,,,
10/7/2014,"2,383,577","2,383,577","2,383,577","2,383,577",1,1,,,,
10/8/2014,"2,385,557","2,385,557","2,385,557","2,385,557",1,1,,,,
10/9/2014,"2,385,557","2,385,557","2,385,557","2,385,557",1,1,,,,
10/10/2014,"2,389,747","2,389,747","2,389,747","2,389,747",1,1,,,,
10/13/2014,"2,389,497","2,389,497","2,389,497","2,389,497",1,1,,,,
10/14/2014,"2,386,461","2,386,461","2,386,461","2,386,461",1,1,,,,
10/15/2014,"2,377,811","2,377,811","2,377,811","2,377,811",1,1,,,,
10/16/2014,"2,377,811","2,377,811","2,377,811","2,377,811",1,1,,,,
10/17/2014,"2,377,811","2,377,811","2,377,811","2,377,811",1,1,,,,
10/20/2014,"2,377,311","2,377,311","2,377,311","2,377,311",1,1,,,,
10/21/2014,"2,375,478","2,375,478","2,375,478","2,375,478",1,1,,,,
10/22/2014,"2,372,919","2,372,919","2,372,919","2,372,919",1,1,,,,
10/23/2014,"2,377,834","2,377,834","2,377,834","2,377,834",1,1,,,,
